iter	MultiClass
0	1.368610829
1	1.352305945
2	1.337280217
3	1.323407063
4	1.310556761
5	1.298557524
6	1.287478282
7	1.277125243
8	1.267516083
9	1.258547454
10	1.25017714
11	1.242354293
12	1.235034574
13	1.228180282
14	1.221624324
15	1.215589584
16	1.209863558
17	1.204523412
18	1.199484626
19	1.19473398
20	1.190277808
21	1.185943474
22	1.182025065
23	1.178313956
24	1.174846236
25	1.171391578
26	1.168314004
27	1.165349167
28	1.162499213
29	1.159877426
30	1.157355359
31	1.154941765
32	1.152760591
33	1.150633051
34	1.148662858
35	1.146809425
36	1.145092305
37	1.143428423
38	1.14175388
39	1.140308042
40	1.138855416
41	1.137541058
42	1.136212393
43	1.135036271
44	1.133827389
45	1.132775352
46	1.131800208
47	1.130774345
48	1.129860437
49	1.128860005
50	1.127939745
51	1.127065076
52	1.126272063
53	1.125572926
54	1.124849645
55	1.12414191
56	1.123541005
57	1.122889628
58	1.122335804
59	1.121764325
60	1.121312306
61	1.120833238
62	1.120329778
63	1.11984202
64	1.119350783
65	1.118939682
66	1.118442667
67	1.11803493
68	1.11759202
69	1.117172238
70	1.116839912
71	1.116459382
72	1.116162821
73	1.115861124
74	1.115586746
75	1.115301976
76	1.114994072
77	1.114766843
78	1.114569342
79	1.114320279
80	1.114077421
81	1.113830043
82	1.113635726
83	1.113396549
84	1.113173152
85	1.112975191
86	1.112738688
87	1.112571126
88	1.112360707
89	1.112193766
90	1.112023411
91	1.111845099
92	1.11167593
93	1.111525969
94	1.111368341
95	1.111254959
96	1.111111437
97	1.110981777
98	1.110828227
99	1.110704675
100	1.110570642
101	1.11040103
102	1.11030966
103	1.110169952
104	1.110035653
105	1.10987212
106	1.109732458
107	1.10958529
108	1.109488918
109	1.1093441
110	1.109209077
111	1.109093056
112	1.108967926
113	1.108852512
114	1.108732
115	1.108609299
116	1.108532029
117	1.108463862
118	1.108345431
119	1.10822005
120	1.108125736
121	1.108015239
122	1.107897042
123	1.107786207
124	1.107683436
125	1.107616556
126	1.107539531
127	1.107458789
128	1.107375237
129	1.107285064
130	1.107176731
131	1.10709421
132	1.106996678
133	1.106916155
134	1.106851016
135	1.106782895
136	1.106724814
137	1.10667154
138	1.106585584
139	1.106509319
140	1.106380194
141	1.106304219
142	1.106216373
143	1.106155485
144	1.106075397
145	1.106000165
146	1.105933074
147	1.105848198
148	1.105776356
149	1.1057073
150	1.105629097
151	1.105551777
152	1.105475963
153	1.105405713
154	1.105357759
155	1.10527555
156	1.10517124
157	1.105099364
158	1.105054974
159	1.104964717
160	1.10489126
161	1.104811814
162	1.10476694
163	1.104698794
164	1.104636237
165	1.104567309
166	1.104496102
167	1.104425167
168	1.104359262
169	1.104297757
170	1.104218871
171	1.104120399
172	1.104067687
173	1.10401185
174	1.103923518
175	1.103867961
176	1.103798811
177	1.10373334
178	1.103677127
179	1.103607006
