iter	Passed	Remaining
0	35	106771
1	75	113620
2	113	113684
3	150	113086
4	188	112731
5	227	113674
6	264	112980
7	300	112239
8	338	112424
9	373	111814
10	408	111024
11	443	110413
12	478	109997
13	513	109489
14	550	109605
15	586	109408
16	625	109811
17	662	109746
18	698	109521
19	736	109797
20	774	109838
21	814	110270
22	850	110148
23	888	110224
24	927	110314
25	963	110258
26	1001	110259
27	1041	110596
28	1083	110991
29	1120	110972
30	1163	111452
31	1209	112175
32	1245	112020
33	1285	112106
34	1327	112424
35	1363	112298
36	1401	112212
37	1441	112346
38	1484	112688
39	1521	112589
40	1561	112689
41	1596	112445
42	1633	112309
43	1671	112278
44	1711	112373
45	1750	112384
46	1786	112258
47	1827	112389
48	1863	112215
49	1906	112483
50	1952	112904
51	1992	112986
52	2033	113067
53	2077	113338
54	2120	113533
55	2169	114060
56	2206	113925
57	2252	114230
58	2294	114382
59	2333	114317
60	2369	114157
61	2411	114257
62	2449	114215
63	2488	114142
64	2530	114243
65	2569	114230
66	2610	114274
67	2650	114265
68	2697	114598
69	2740	114726
70	2785	114928
71	2829	115047
72	2868	115017
73	2907	114948
74	2947	114960
75	2990	115070
76	3038	115360
77	3080	115406
78	3119	115356
79	3164	115516
80	3210	115680
81	3251	115713
82	3293	115747
83	3341	116009
84	3386	116136
85	3428	116166
86	3470	116197
87	3509	116148
88	3552	116188
89	3592	116162
90	3634	116172
91	3678	116268
92	3727	116514
93	3772	116627
94	3817	116745
95	3863	116864
96	3914	117143
97	3955	117118
98	3996	117110
99	4039	117159
100	4082	117170
101	4124	117172
102	4164	117144
103	4211	117261
104	4252	117250
105	4295	117275
106	4341	117387
107	4388	117513
108	4434	117620
109	4476	117607
110	4520	117663
111	4567	117783
112	4611	117821
113	4654	117832
114	4699	117887
115	4740	117853
116	4782	117853
117	4820	117722
118	4863	117737
119	4909	117824
120	4948	117733
121	4990	117723
122	5036	117793
123	5083	117893
124	5125	117882
125	5163	117783
126	5208	117817
127	5251	117839
128	5294	117827
129	5344	117988
130	5388	118003
131	5431	118006
132	5474	118008
133	5514	117952
134	5555	117893
135	5599	117913
136	5643	117930
137	5684	117889
138	5728	117911
139	5769	117864
140	5814	117893
141	5860	117943
142	5899	117862
143	5937	117768
144	5979	117727
145	6020	117683
146	6063	117672
147	6103	117607
148	6159	117853
149	6220	118185
150	6259	118108
151	6304	118122
152	6344	118055
153	6386	118017
154	6428	118002
155	6470	117956
156	6513	117945
157	6559	117989
158	6601	117952
159	6643	117924
160	6686	117906
161	6727	117853
162	6768	117804
163	6811	117786
164	6855	117796
165	6896	117732
166	6937	117687
167	6980	117666
168	7022	117637
169	7069	117678
170	7110	117640
171	7153	117611
172	7191	117511
173	7233	117474
174	7274	117425
175	7318	117435
176	7359	117375
177	7400	117320
178	7439	117250
179	7488	117322
180	7529	117262
181	7570	117212
182	7612	117178
183	7653	117127
184	7697	117131
185	7746	117196
186	7796	117275
187	7837	117229
188	7882	117241
189	7926	117221
190	7965	117139
191	8004	117068
192	8045	117008
193	8089	117003
194	8126	116901
195	8171	116901
196	8214	116881
197	8255	116830
198	8295	116767
199	8336	116713
200	8376	116652
201	8416	116579
202	8456	116515
203	8496	116454
204	8537	116404
205	8580	116383
206	8630	116446
207	8672	116408
208	8720	116459
209	8763	116434
210	8804	116377
211	8845	116328
212	8892	116348
213	8931	116271
214	8971	116213
215	9016	116209
216	9059	116180
217	9104	116187
218	9148	116169
219	9190	116133
220	9232	116101
221	9278	116101
222	9317	116034
223	9359	115989
224	9400	115935
225	9450	115995
226	9492	115958
227	9538	115970
228	9582	115954
229	9622	115886
230	9663	115835
231	9704	115788
232	9746	115746
233	9788	115703
234	9828	115636
235	9868	115583
236	9911	115546
237	9952	115504
238	9992	115439
239	10032	115374
240	10076	115358
241	10116	115300
242	10158	115255
243	10200	115215
244	10241	115163
245	10284	115141
246	10322	115049
247	10363	115003
248	10406	114976
249	10447	114926
250	10488	114871
251	10531	114843
252	10572	114790
253	10612	114729
254	10648	114629
255	10688	114571
256	10728	114510
257	10771	114480
258	10812	114431
259	10860	114454
260	10902	114417
261	10942	114349
262	10980	114276
263	11019	114198
264	11064	114198
265	11103	114128
266	11144	114072
267	11186	114037
268	11226	113972
269	11263	113890
270	11301	113803
271	11345	113788
272	11385	113729
273	11427	113690
274	11473	113688
275	11515	113648
276	11558	113619
277	11599	113570
278	11635	113473
279	11674	113411
280	11719	113399
281	11761	113360
282	11808	113372
283	11846	113292
284	11886	113237
285	11932	113230
286	11976	113213
287	12016	113159
288	12058	113119
289	12099	113069
290	12140	113018
291	12185	113005
292	12225	112952
293	12271	112944
294	12315	112929
295	12360	112913
296	12400	112855
297	12441	112810
298	12484	112779
299	12527	112744
300	12569	112709
301	12610	112655
302	12652	112618
303	12692	112563
304	12731	112493
305	12773	112460
306	12813	112401
307	12853	112341
308	12901	112354
309	12944	112328
310	12987	112294
311	13025	112222
312	13067	112181
313	13113	112178
314	13150	112094
315	13193	112060
316	13237	112042
317	13280	112003
318	13319	111945
319	13364	111927
320	13406	111887
321	13445	111824
322	13489	111796
323	13533	111780
324	13572	111711
325	13614	111675
326	13661	111670
327	13701	111619
328	13744	111584
329	13785	111534
330	13832	111533
331	13876	111514
332	13915	111453
333	13957	111405
334	13997	111350
335	14040	111320
336	14083	111290
337	14122	111226
338	14165	111189
339	14203	111124
340	14243	111068
341	14291	111071
342	14333	111035
343	14375	110993
344	14414	110925
345	14459	110911
346	14500	110866
347	14543	110829
348	14586	110795
349	14628	110761
350	14671	110729
351	14714	110693
352	14752	110624
353	14795	110587
354	14837	110547
355	14879	110511
356	14918	110450
357	14960	110409
358	15002	110366
359	15047	110348
360	15087	110292
361	15126	110233
362	15167	110181
363	15209	110141
364	15249	110085
365	15290	110042
366	15328	109975
367	15374	109961
368	15416	109920
369	15463	109916
370	15507	109889
371	15548	109843
372	15590	109805
373	15633	109770
374	15675	109725
375	15716	109679
376	15760	109656
377	15805	109636
378	15847	109592
379	15893	109583
380	15937	109555
381	15977	109502
382	16021	109473
383	16064	109438
384	16109	109421
385	16174	109532
386	16226	109562
387	16271	109540
388	16311	109484
389	16354	109450
390	16395	109401
391	16436	109352
392	16473	109275
393	16517	109249
394	16560	109216
395	16601	109167
396	16648	109156
397	16683	109070
398	16727	109044
399	16769	109000
400	16811	108958
401	16851	108907
402	16892	108855
403	16936	108830
404	16977	108779
405	17021	108750
406	17061	108698
407	17101	108646
408	17146	108620
409	17194	108619
410	17237	108585
411	17282	108558
412	17324	108519
413	17365	108471
414	17405	108419
415	17449	108388
416	17491	108348
417	17532	108296
418	17575	108264
419	17620	108240
420	17664	108209
421	17707	108176
422	17750	108141
423	17794	108112
424	17835	108064
425	17878	108024
426	17917	107968
427	17955	107900
428	17997	107859
429	18041	107831
430	18081	107773
431	18124	107740
432	18167	107703
433	18210	107669
434	18250	107615
435	18293	107581
436	18337	107549
437	18382	107527
438	18428	107504
439	18472	107474
440	18515	107439
441	18554	107378
442	18596	107341
443	18640	107311
444	18682	107269
445	18723	107218
446	18766	107182
447	18810	107150
448	18851	107103
449	18897	107084
450	18941	107057
451	18982	107005
452	19026	106978
453	19066	106923
454	19107	106875
455	19150	106838
456	19194	106810
457	19234	106758
458	19273	106695
459	19311	106634
460	19350	106573
461	19391	106527
462	19434	106489
463	19480	106472
464	19521	106421
465	19568	106409
466	19612	106377
467	19653	106329
468	19693	106279
469	19737	106245
470	19782	106222
471	19825	106184
472	19866	106136
473	19905	106081
474	19946	106028
475	19990	105999
476	20029	105941
477	20069	105892
478	20110	105841
479	20153	105803
480	20193	105751
481	20237	105720
482	20284	105704
483	20329	105680
484	20370	105630
485	20408	105569
486	20449	105523
487	20493	105488
488	20538	105465
489	20580	105424
490	20622	105381
491	20662	105326
492	20705	105289
493	20743	105230
494	20791	105218
495	20832	105171
496	20872	105116
497	20914	105077
498	20956	105032
499	20993	104965
500	21035	104923
501	21080	104897
502	21122	104855
503	21164	104813
504	21202	104755
505	21243	104704
506	21287	104672
507	21332	104646
508	21378	104625
509	21420	104584
510	21460	104532
511	21505	104501
512	21541	104430
513	21580	104376
